,name,symbol,country,indices,industries,symbols,metadata,isins,wiki_name
56,Starbucks Corporation,SBUX,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Hotels & Entertainment Services', 'Restaurants & Bars', 'Cyclical Consumer Services', 'Consumer Cyclicals']","[{'yahoo': 'SRB.F', 'google': 'FRA:SRB', 'currency': 'EUR'}, {'yahoo': 'SBUX', 'google': 'NASDAQ:SBUX', 'currency': 'USD'}]","{'founded': 1971, 'employees': 349000}",[],
57,T-Mobile US Inc.,TMUS,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Telecommunications Services', 'Wireless Telecommunications Services']","[{'yahoo': 'TM5.F', 'google': 'FRA:TM5', 'currency': 'EUR'}, {'yahoo': 'TMUS', 'google': 'NASDAQ:TMUS', 'currency': 'USD'}, {'yahoo': '0R2L.L', 'google': 'LON:0R2L', 'currency': 'GBP'}]","{'founded': 1994, 'employees': 75000}",['US8725901040'],
58,Tesla Inc.,TSLA,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Auto & Truck Manufacturers', 'Automobiles & Auto Parts', 'Consumer Cyclicals']","[{'yahoo': 'TL0.F', 'google': 'FRA:TL0', 'currency': 'EUR'}, {'yahoo': 'TSLA', 'google': 'NASDAQ:TSLA', 'currency': 'USD'}]","{'founded': 2003, 'employees': 70757}",['US88160R1014'],
59,Texas Instruments Inc.,TXN,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'TII.F', 'google': 'FRA:TII', 'currency': 'EUR'}, {'yahoo': 'TXN', 'google': 'NASDAQ:TXN', 'currency': 'USD'}, {'yahoo': '0R2H.L', 'google': 'LON:0R2H', 'currency': 'GBP'}]","{'founded': 1930, 'employees': 29888}",[],
60,Verisk Analytics Inc.,VRSK,United States,"['NASDAQ 100', 'S&P 500']","['Technology', 'Software & IT Services', 'IT Services & Consulting']","[{'yahoo': 'VA7A.F', 'google': 'FRA:VA7A', 'currency': 'EUR'}, {'yahoo': 'VRSK', 'google': 'NASDAQ:VRSK', 'currency': 'USD'}, {'yahoo': '0LP3.L', 'google': 'LON:0LP3', 'currency': 'GBP'}]","{'founded': 1971, 'employees': 9300}",[],
61,Vertex Pharmaceuticals Inc.,VRTX,United States,"['NASDAQ 100', 'S&P 500']","['Biotechnology & Medical Research', 'Pharmaceuticals & Medical Research', 'Healthcare']","[{'yahoo': 'VX1.F', 'google': 'FRA:VX1', 'currency': 'EUR'}, {'yahoo': 'VRTX', 'google': 'NASDAQ:VRTX', 'currency': 'USD'}, {'yahoo': '0QZU.L', 'google': 'LON:0QZU', 'currency': 'GBP'}]","{'founded': 1989, 'employees': 3000}",[],
62,Xilinx Inc.,XLNX,United States,"['NASDAQ 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'XIX.F', 'google': 'FRA:XIX', 'currency': 'EUR'}, {'yahoo': 'XLNX', 'google': 'NASDAQ:XLNX', 'currency': 'USD'}, {'yahoo': '0M1U.L', 'google': 'LON:0M1U', 'currency': 'GBP'}]","{'founded': 1984, 'employees': 4891}",[],
63,Booking Holdings Inc.,BKNG,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Hotels & Entertainment Services', 'Leisure & Recreation', 'Cyclical Consumer Services', 'Consumer Cyclicals']","[{'yahoo': 'PCE1.F', 'google': 'FRA:PCE1', 'currency': 'EUR'}, {'yahoo': 'BKNG', 'google': 'NASDAQ:BKNG', 'currency': 'USD'}]","{'founded': 1996, 'employees': 26400}",[],
64,Exelon Corporation,EXC,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Electric Utilities', 'Electric Utilities & IPPs', 'Utilities']","[{'yahoo': 'PEO.F', 'google': 'FRA:PEO', 'currency': 'EUR'}, {'yahoo': 'EXC', 'google': 'NASDAQ:EXC', 'currency': 'USD'}, {'yahoo': '0IJN.L', 'google': 'LON:0IJN', 'currency': 'GBP'}]","{'founded': 2000, 'employees': 33383}",[],
65,Honeywell International Inc.,HON,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Industrials', 'Industrial Conglomerates']","[{'yahoo': 'ALD.F', 'google': 'FRA:ALD', 'currency': 'EUR'}, {'yahoo': 'HON', 'google': 'NASDAQ:HON', 'currency': 'USD'}, {'yahoo': 'HON.L', 'google': 'LON:HON', 'currency': 'GBP'}]","{'founded': 1906, 'employees': 103000}",[],
66,Advanced Micro Devices Inc.,AMD,United States,"['NASDAQ 100', 'S&P 500']","['Environmental Services & Equipment', 'Industrials', 'Professional & Commercial Services', 'Industrial & Commercial Services']","[{'yahoo': 'AMD.F', 'google': 'FRA:AMD', 'currency': 'EUR'}, {'yahoo': 'AMD', 'google': 'NASDAQ:AMD', 'currency': 'USD'}]","{'founded': 1969, 'employees': 12600}",[],
